ticker,fund_name,initial_date,return_1999,return_2000,return_2001,return_2002,return_2003,return_2004,return_2005,return_2006,return_2007,return_2008,return_2009,return_2010,return_2011,return_2012,return_2013,return_2014,return_2015,return_2016,return_2017,return_2018,return_2019,return_2020,return_2021,return_2022,return_2023,inception_year,count_year_returns,flag_yrs_5,flag_yrs_10,flag_yrs_15,flag_yrs_20,return_5_yrs,return_10_yrs,return_15_yrs,return_20_yrs
A,Agilent Technologies Inc. Common Stock,1999-12-31,0,-0.29183529657651974,-0.47926935143800786,-0.3700453857791225,0.6280619596541788,-0.17578636404540482,0.3813276313607967,0.11105894164950648,0.05423241838491477,-0.5745781326011554,0.9878443841630946,0.3334406169161932,-0.15689133206319283,0.18377923897263335,0.411315277492134,0.00782792075822746,0.03464981176737214,0.10162731746904208,0.4831785744805681,0.01665415622822608,0.27539558209277115,0.3979088550251546,0.35509643407301517,-0.0552270213923528,-0.06421528572878166,1999,25,1,1,1,1,0.16391020332043915,0.13977165588587925,0.1912992280346244,0.10842709601567968
AA,Alcoa Corporation Common Stock,1999-12-31,0,-0.17995860573350375,0.07855567634387062,-0.3455400332509754,0.7098868775565639,-0.15781042369501252,-0.03805796522313876,0.04005292088642487,0.2412461762122542,-0.6827950766053656,0.47381270476634474,-0.03621907819822134,-0.4331464624275866,0.01686611907194657,0.24145013259564796,0.4981258999787308,-0.368454821572152,0.2006800184606674,0.9184470266666602,-0.5065899485785713,-0.19074487291888453,0.07159459254527722,1.5904607674176114,-0.231173994890992,-0.24334356567532733,1999,25,1,1,1,1,0.05497934607736377,0.034607830300041664,0.024053885960597654,-0.03665308768640452
AACI,Armada Acquisition Corp. I Common Stock,2021-11-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00410256019005417,0.03370785750683436,0.06422930628014334,2021,3,0,0,0,0,NA,NA,NA,NA
AACIU,Armada Acquisition Corp. I Unit,2021-08-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.02346934058774552,0.00897309620976738,0.0681818717253373,2021,3,0,0,0,0,NA,NA,NA,NA
AADI,Aadi Bioscience Inc. Common Stock,2018-02-16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6222222222222222,-0.6329411899342257,0.5705128577412324,0.6428571382231567,-0.4687370548088288,-0.8425565087343336,2018,6,1,0,0,0,-0.3977702066851828,NA,NA,NA
AAGR,African Agriculture Holdings Inc. Common Stock,2021-10-05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.00102052022842824,0.01021454040853142,-0.8236855427781351,2021,3,0,0,0,0,NA,NA,NA,NA
AAL,American Airlines Group Inc. Common Stock,2005-09-27,NA,NA,NA,NA,NA,NA,0.9243520433001252,0.44991973137383834,-0.7268337948544081,-0.47450717666365205,-0.37386794067671514,1.0681816162994977,-0.4935065794719424,1.6627223031688223,0.8703703897974693,1.134688923772396,-0.20354423093121063,0.1148089168222286,0.12398104509032692,-0.37689068186972663,-0.0957193819037846,-0.4481074534865892,0.13887118345838934,-0.29175941450765974,0.08018863857521064,2005,19,1,1,1,0,-0.15343062395982476,-0.05347242720700773,0.043184136658928285,NA
AAMC,Altisource Asset Management Corp Com,2022-03-21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2857143592401985,-0.6524444671107574,2022,2,0,0,0,0,NA,NA,NA,NA
AAME,Atlantic American Corporation Common Stock,1999-12-31,0,-0.13513501955828455,0.09999998022191404,-0.2590910123401473,0.8404912084574183,0.033333192689176,-0.12903215653288513,0.0962961262789217,-0.5270270691644194,-0.4714285243378814,0.7297297538082397,0.585937491147503,-0.02035811524500208,0.6077533039180247,0.3315745638583265,-0.00422545749877789,0.24445105735111028,-0.17498921333092343,-0.16654348409430153,-0.28681450655288543,-0.17603321486994017,0.04568528295542906,0.19553090998352696,-0.03962118861289965,0.05877275833720641,1999,25,1,1,1,1,0.009307191506177537,-0.04417128104823609,0.09038822944169511,-0.00507261345568133
AAN,Aarons Holdings Company Inc. Common Stock,2020-11-25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.28452838119858437,0.31927092267861545,-0.5002409451526375,-0.04740224074301991,2020,4,0,0,0,0,NA,NA,NA,NA
AAOI,Applied Optoelectronics Inc. Common Stock,2013-09-26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5070281296579593,-0.2524983280520151,0.5294117147072301,0.3659674092358802,0.6134811788878969,-0.5920147956191701,-0.23007129750633024,-0.2836700213043455,-0.3960047322864806,-0.6322957130761275,9.222222138123955,2013,11,1,1,0,0,0.04599169450463747,0.025563702632950713,NA,NA
AAON,AAON Inc. Common Stock,1999-12-31,0,0.23043497189992104,1.0751942301761417,0.12975103486435935,0.05317365471587032,-0.1720759337130775,0.11263200493848768,0.5052599546508565,0.1575454969436374,0.07833223749416596,-0.04082039060894693,0.4801145385944021,0.10829187710836764,0.04578695384829312,1.3187423511591958,0.06410222618096584,0.05123755260218687,0.44039984351117045,0.12247515015288468,-0.03141405351471627,0.4235174218990758,0.3614400615525981,0.20160961769578337,-0.04236265199319444,0.4804573837634054,1999,25,1,1,1,1,0.2698263616675456,0.19184667065837635,0.22908881602917663,0.19977459405540432
AAP,Advance Auto Parts Inc.,2001-11-29,NA,NA,0.19476458710613945,-0.01708564088849618,0.6646216561068339,0.07321866848125169,0.4924449031729521,-0.17634587228715148,0.0750908731064932,-0.108253519135469,0.21009182889975553,0.6414729573305098,0.0566010500005405,0.04245371673176823,0.5340307295962297,0.4416633590751391,-0.05362517346973283,0.12536088327179518,-0.40928311046803734,0.5821686690270589,0.01870021592552273,-0.00897033902079347,0.5467676891294531,-0.3650010003281725,-0.5761617058640514,2001,23,1,1,1,1,-0.15917372342080882,-0.0493115009743591,0.04813145850469036,0.04812412222000706
AAPL,Apple Inc. Common Stock,1999-12-31,0,-0.7106383528651841,0.4722672775967831,-0.34566096371499777,0.49127530627531657,2.013572505959436,1.2326087683194724,0.18013626522799453,1.3347476558466391,-0.5691134317715585,1.4690098100563262,0.5306790846292764,0.2555797485005007,0.3256691750216194,0.08069545870531813,0.4062250857135712,-0.03013741290889027,0.12480443393099394,0.4846433490704607,-0.05390200874192941,0.8895785496443731,0.8230670694538778,0.34648204722475584,-0.26404199283202034,0.4900804898208224,1999,25,1,1,1,1,0.3844784029636188,0.2705247370854529,0.33295268395908306,0.3763615024684279
AAT,American Assets Trust Inc. Common Stock,2011-01-13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00433592975382812,0.4093219694528363,0.1564247740398872,0.29900948930786275,-0.01309924289341157,0.1517760992609758,-0.08891928701733254,0.08144100338452764,0.1711047378980992,-0.35036346755613634,0.34033263825748294,-0.2636392768024227,-0.09580022983241264,2011,13,1,1,0,0,-0.07452060134274185,-0.0012317382425462986,NA,NA
AB,AllianceBernstein Holding L.P.  Units,1999-12-31,0,0.8176477679775511,0.00976144921696331,-0.3166846922002987,0.1582347387020251,0.28682062697941113,0.4274079875452905,0.5017739002663237,-0.01156071112267032,-0.701466912885917,0.4401384426199983,-0.12347235780798148,-0.39429598854460046,0.4236021736092206,0.3115682229536154,0.30364222274023334,-0.01107532021095103,0.06926476302470497,0.16755298861972712,0.21043740731054592,0.19853649802593276,0.22997406510490603,0.5627292603917224,-0.23460484479231125,-0.02286069738895579,1999,25,1,1,1,1,0.11494804544051784,0.12872955727273627,0.11011316845111985,0.07042464319281772
ABAT,American Battery Technology Company Common Stock,2016-02-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.4371428716750372,-0.4923857736961448,2.1000000635782876,-0.8967741979727346,42.750000977888725,-0.23571432204473583,-0.6196261489547847,-0.2317772248046237,2016,8,1,0,0,0,0.0017145390542612216,NA,NA,NA
ABBV,AbbVie Inc. Common Stock,2013-01-02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.563762592536798,0.2791831367903155,-0.06500793719082698,0.09791994947901617,0.6007488843360005,-0.00956476579205389,0.01468192504042131,0.27718259576731263,0.3242602603998044,0.24007694527929857,-0.00234834971409736,2013,11,1,1,0,0,0.16251017888556762,0.16023094273333638,NA,NA
ABCB,Ameris Bancorp Common Stock,1999-12-31,0,-0.07467341028211072,0.4813393236492871,0.00425489376926657,0.28700233744737313,0.33587492923806117,0.17351238283500092,0.4536478165978801,-0.3858579105790092,-0.2749224269997005,-0.3768954344568776,0.4904546343173919,-0.02466822364143839,0.21498080598383384,0.6901523421858626,0.2224823427881439,0.33505626629588026,0.293869997444836,0.11499656523276448,-0.33690516069231125,0.3605988941124265,-0.08299720809004296,0.3202209750159517,-0.03832660951925182,0.14275173899642213,1999,25,1,1,1,1,0.12601811668113938,0.10948360107999688,0.11698947467718757,0.08731432849556442
ABEO,Abeona Therapeutics Inc. Common Stock,1999-12-31,0,1.7269595142807883,-0.112,-0.6621621621621622,2.493333333333333,-0.3244274809160306,-0.8531073446327684,0.07692307692307687,0.1607142857142858,-0.6953846153846154,2.323232323232323,-0.24620060790273557,-0.4193548387096774,-0.8333333333333334,0.04166666666666674,-0.724,-0.02608695652173909,0.443452380952381,2.268041237113402,-0.5495268138801261,-0.5420168067226891,-0.5198776758409787,-0.7834394904458599,-0.6376470677992877,0.6266234912283635,1999,25,1,1,1,1,-0.5106271120647883,-0.3385473322118061,-0.30739412804091737,-0.35548753358094365
ABG,Asbury Automotive Group Inc Common Stock,2002-03-21,NA,NA,NA,-0.4591639817413755,1.1296072894543534,-0.2305973360714978,0.19448468495438087,0.4575267249236117,-0.3364183515493727,-0.6819373378405555,1.522975776777614,0.602775366021121,0.16666666666666674,0.4856215015168997,0.6778021769143041,0.41272787118958854,-0.11169646907351694,-0.08511271457105696,0.0372771346615941,0.04156255722045898,0.6770176233739182,0.30369446551208634,0.1851927351247491,0.037746798087956,0.25506276831633534,2002,22,1,1,1,1,0.2754159842025825,0.15393857999932004,0.2966235133244153,0.1407180469756255
ABIO,ARCA biopharma Inc. Common Stock,1999-12-31,0,-0.15441176470588236,-0.4629565409094395,-0.887305697690129,3.0229885853899283,-0.06190476190476191,-0.17664972521016298,-0.5067817634942409,-0.5425000064587466,-0.8306010834459496,-0.4741935577963007,-0.02760737715652295,-0.6845425893217154,-0.6200000016146867,-0.2631579171009235,-0.434523804374936,-0.30075188736693337,-0.3870967609618543,-0.5263157973011128,-0.7555555455260585,-0.03872054155856552,-0.29772325707668923,-0.463840405822883,0.10232547927122426,-0.2827003671847492,1999,25,1,1,1,1,-0.2213675542627177,-0.38272752422741063,-0.41029379794125986,-0.4357320385672546
ABL,Abacus Life Inc. Class A Common Stock,2020-09-14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04531406577288433,-0.02758618162507242,0.02938196202791543,-0.04921259916429599,2020,4,0,0,0,0,NA,NA,NA,NA
ABLLL,Abacus Life Inc. 9.875% Fixed Rate Senior Notes due 2028,2023-11-24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01445785605890748,2023,1,0,0,0,0,NA,NA,NA,NA
ABM,ABM Industries Incorporated Common Stock,1999-12-31,0,0.5441087771682802,0.04575694491383642,0.01220960980676855,0.15193325098928812,0.15676820786249435,0.01319026743013918,0.18974611606603076,-0.0843914615862501,-0.04292164263262887,0.1157073074826882,0.30551810208645036,-0.19647803266453723,0.00250218065400442,0.4679787094627126,0.02499002042160025,0.00932735746582968,0.46326562026833806,-0.06125038628787493,-0.1304567150610566,0.2039422349324025,0.02142389319006077,0.09810166188969284,0.10731242350171688,0.030409360023399,1999,25,1,1,1,1,0.09030206798220242,0.06651016884017436,0.08239489336746963,0.07186909683398501
ABNB,Airbnb Inc. Class A Common Stock,2020-12-10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.01444265248375775,0.13412807923760117,-0.4864556599254208,0.5922806946157713,2020,4,0,0,0,0,NA,NA,NA,NA
ABOS,Acumen Pharmaceuticals Inc. Common Stock,2021-07-01,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6636815870354954,-0.2011834448915929,-0.2888889173421344,2021,3,0,0,0,0,NA,NA,NA,NA
ABR,Arbor Realty Trust Common Stock,2004-04-07,NA,NA,NA,NA,NA,0.2424611414525717,0.1502201559536145,0.28004153705262746,-0.40361604794935146,-0.7795141352190175,-0.32542373656554846,1.9949744433775256,-0.40939582957681486,0.7921168344296814,0.19064084545752236,0.09526714949077664,0.15144517278813785,0.13812074583083225,0.2660360809788267,0.2851868507126918,0.551923869927897,0.10042866576936692,0.39421881017099536,-0.2072673131850321,0.2973138093551373,2004,20,1,1,1,0,0.1961537620973519,0.1905013916810785,0.19548589681155093,NA
ABSI,Absci Corporation Common Stock,2021-07-22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.6201945460254088,-0.7439024446976463,1,2021,3,0,0,0,0,NA,NA,NA,NA
ABT,Abbott Laboratories Common Stock,1999-12-31,0,0.35842964139490774,0.17078156038638692,-0.2673368522628372,0.19272080080443563,0.09662625064199748,-0.1348307475882099,0.26863879236541455,0.1804324888165274,-0.02485518901273253,0.045791415030078,-0.0826890664624812,0.2177623069921919,0.20295086195140777,0.23956627775083672,0.20083686753343177,0.01871735316017564,-0.12320594774957604,0.5202817043156327,0.2906181267493435,0.22080217175510408,0.280407297562582,0.30528320725123836,-0.20681895757023017,0.02260629982164252,1999,25,1,1,1,1,0.10600170088003824,0.13290530799975064,0.12771284811008288,0.11231884406541304
ABVC,ABVC BioPharma Inc. Common Stock,2004-11-10,NA,NA,NA,NA,NA,0,2.775,1.3178807947019866,0.41569997765590894,-0.7777777731628451,-0.6571428615929706,-0.7916666477382323,-0.640000027256943,-0.9444444449702344,1,0,-0.5,-0.7487999916866317,0,0,-0.8786111089918348,0.16704803454492012,-0.3352940877278646,-0.815634226587606,-0.8144000053405762,2004,20,1,1,1,0,-0.6825823330660665,-0.5421591776337863,-0.5980193586022482,NA
